,equity
2025-01-03,1000.0
2025-01-06,921.7694145127377
2025-01-07,917.9657879612236
2025-01-08,932.4755116762012
2025-01-10,980.540775232306
2025-01-13,981.8938043435104
2025-01-14,987.9768129709583
2025-01-15,1092.6099923958716
2025-01-16,1117.7674294465214
2025-01-17,1220.6587952891953
2025-01-21,1233.9430076601122
2025-01-22,1330.6934258669642
2025-01-23,1338.253075495829
2025-01-24,1336.81451095799
2025-01-27,1500.241888877167
2025-01-28,1504.185590492774
2025-01-29,1516.5796546920199
2025-01-30,1475.3401009410236
2025-01-31,1460.769023848133
2025-02-03,1494.700213903523
2025-02-04,1527.6494828215993
2025-02-05,1500.2316734083008
2025-02-06,1570.0668825844443
2025-02-07,1558.400235064589
2025-02-10,1523.6202021533418
2025-02-11,1455.4738094680267
2025-02-12,1351.5922254945667
2025-02-13,1352.6878972791797
2025-02-14,1428.7497434528427
2025-02-18,1571.8515159792678
2025-02-19,1543.6289975475097
2025-02-20,1582.0646558569558
2025-02-21,1472.1691710348134
2025-02-24,1494.4257146036882
2025-02-25,1513.8982799698167
2025-02-26,1504.705050898652
2025-02-27,1513.168269331741
2025-02-28,1434.17337924263
2025-03-03,1434.17337924263
2025-03-04,1312.8356555301777
2025-03-05,1314.3839837667222
2025-03-06,1389.8840717234468
2025-03-07,1368.8671648835577
2025-03-10,1425.047998291813
2025-03-11,1492.7365815026271
2025-03-12,1523.634906407891
2025-03-13,874.7488095122026
2025-03-14,854.617585936591
2025-03-17,884.7466635152376
2025-03-18,924.8633593446893
2025-03-19,931.8270486459444
2025-03-20,929.0448336338657
2025-03-21,1003.2591143055479
2025-03-24,1161.8075041030118
2025-03-25,1162.4753638887003
2025-03-26,1141.0716933079127
2025-03-27,1189.541098271816
2025-03-28,1189.541098271816
2025-03-31,1211.526558175203
2025-04-01,1207.4924058404579
2025-04-02,1208.101255838165
2025-04-03,1034.6929348465308
2025-04-04,1034.6929348465308
2025-04-07,984.7875468704786
2025-04-08,1050.7179614143834
2025-04-09,1098.4602264806144
2025-04-10,1197.659001612815
2025-04-11,1145.045634405549
2025-04-14,1144.3759087762078
2025-04-15,1124.2635590944287
2025-04-16,1159.4626433154183
2025-04-17,1214.7875252720569
2025-04-21,1214.7875252720569
2025-04-22,1185.931690827441
2025-04-23,1154.6271868559556
2025-04-24,1131.387344190867
2025-04-25,1142.6199332461288
2025-04-28,1133.4647830103668
2025-04-29,1100.3205575171266
2025-04-30,1069.0427892882715
2025-05-01,1140.6643493979675
2025-05-02,1154.4038036587572
2025-05-05,1192.0883083209503
2025-05-06,1275.2013764867456
2025-05-07,1311.3355220647593
2025-05-08,1298.0429478076342
2025-05-09,1364.6659412934898
2025-05-12,1392.8926935109814
2025-05-13,1429.7738552443468
2025-05-14,1428.4094664352388
2025-05-15,1447.3741187881847
2025-05-16,1443.330204187561
2025-05-19,1533.008389403999
2025-05-20,1516.9277004134417
2025-05-21,1516.9277004134417
2025-05-22,1408.855350312381
2025-05-23,1383.3393713685514
2025-05-27,1317.7635344420369
2025-05-28,1372.1096045909853
2025-05-29,1382.24758713012
2025-05-30,1375.0975864877303
2025-06-02,1467.9992989217951
2025-06-03,1475.3121157994385
2025-06-04,1489.328998592067
2025-06-05,1489.0411318198423
2025-06-06,1510.1133979039678
2025-06-09,1528.045909472007
2025-06-10,1662.3305725615162
2025-06-11,1766.1680189267054
2025-06-12,1790.6904099157634
2025-06-13,1655.3757946673827
2025-06-16,1766.5107874670323
2025-06-17,1774.427716014652
2025-06-18,1861.6112723877163
2025-06-20,1808.4126145618416
2025-06-23,1764.8292304538227
2025-06-24,1710.6904902451638
2025-06-25,1868.3597407836724
2025-06-26,1900.65378003283
2025-06-27,1871.1484856819538
2025-06-30,1818.4474621936881
2025-07-01,1911.4459193332261
2025-07-02,2072.494585192981
2025-07-03,1977.4331084170976
2025-07-07,1980.0883422213742
2025-07-08,2208.7776212135723
2025-07-09,2238.417343479537
2025-07-10,2244.845731230126
2025-07-11,2310.3362526646115
2025-07-14,2406.2189311698753
