,equity
2025-01-03,1000.0
2025-01-06,1020.3125184464591
2025-01-07,1015.9216331359165
2025-01-08,1027.0772729868158
2025-01-10,1040.4419593055275
2025-01-13,1043.682391203698
2025-01-14,1049.3327923474012
2025-01-15,1060.453937438251
2025-01-16,1065.980593168078
2025-01-17,1071.9039261829826
2025-01-21,1091.585844866794
2025-01-22,1105.5659347374435
2025-01-23,1110.5990224156394
2025-01-24,1112.9027539505696
2025-01-27,1094.9096076619066
2025-01-28,1136.6258403579454
2025-01-29,1141.9555600356732
2025-01-30,1133.9495477181285
2025-01-31,1146.4566430546065
2025-02-03,1149.2159551665418
2025-02-04,1154.7970983941689
2025-02-05,1153.4192373253204
2025-02-06,1168.4651702348888
2025-02-07,1185.477164347461
2025-02-10,1181.5305040224946
2025-02-11,1177.82035628307
2025-02-12,1177.3119441173767
2025-02-13,1193.8226993521766
2025-02-14,1198.5423436837114
2025-02-18,1219.2232653765116
2025-02-19,1225.019786518325
2025-02-20,1230.0499260624767
2025-02-21,1227.251431904652
2025-02-24,1228.1548064396977
2025-02-25,1241.0852591509654
2025-02-26,1255.481938730739
2025-02-27,1245.7168209137012
2025-02-28,1250.6482641815483
2025-03-03,1258.0873707162004
2025-03-04,1230.8819311245968
2025-03-05,1237.0376709624636
2025-03-06,1263.3769881127928
2025-03-07,1275.6343927302755
2025-03-10,1263.7505148408118
2025-03-11,1279.53238348498
2025-03-12,1295.3806133377134
2025-03-13,1276.1113008266525
2025-03-14,1279.1611995123733
2025-03-17,1291.9468307920292
2025-03-18,1310.9063822727765
2025-03-19,1305.9651794488486
2025-03-20,1315.4722016174076
2025-03-21,1335.538284971431
2025-03-24,1347.045168469593
2025-03-25,1348.4748514866421
2025-03-26,1380.3903931322254
2025-03-27,1382.0386764665586
2025-03-28,1385.9584349673237
2025-03-31,1399.4083209255725
2025-04-01,1408.0700401878667
2025-04-02,1420.0428064973992
2025-04-03,1449.7444486869713
2025-04-04,1466.440581847295
2025-04-07,1488.571817191629
2025-04-08,1501.8602707302375
2025-04-09,1491.2640192295314
2025-04-10,1535.7125840436804
2025-04-11,1523.5250433402985
2025-04-14,1525.6301747384625
2025-04-15,1534.13739735446
2025-04-16,1562.1199245821492
2025-04-17,1573.55438425326
2025-04-21,1614.360739348717
2025-04-22,1634.1927992726999
2025-04-23,1629.6670284071217
2025-04-24,1660.3839879898144
2025-04-25,1672.8045340677133
2025-04-28,1685.3881075578427
2025-04-29,1690.9014148611868
2025-04-30,1694.7727103328755
2025-05-01,1722.874428169435
2025-05-02,1738.63229126317
2025-05-05,1769.707268898181
2025-05-06,1772.4606478205644
2025-05-07,1800.3374589778787
2025-05-08,1809.8602973948548
2025-05-09,1836.0745146664076
2025-05-12,1859.8167685544765
2025-05-13,1887.6108312452222
2025-05-14,1913.0152714464125
2025-05-15,1980.1975406220865
2025-05-16,1983.2289159375832
2025-05-19,1971.8503101977872
2025-05-20,1968.1494087168073
2025-05-21,2001.6147651027263
2025-05-22,2018.0224720763008
2025-05-23,2036.415414878151
2025-05-27,2075.496886969434
2025-05-28,2095.7660536282656
2025-05-29,2115.5537294321575
2025-05-30,2131.019580356987
2025-06-02,2136.618112888257
2025-06-03,2151.09708113035
2025-06-04,2161.866479132372
2025-06-05,2169.3555868573453
2025-06-06,2190.491651035308
2025-06-09,2227.9753446635887
2025-06-10,2249.9142710394703
2025-06-11,2306.076242777172
2025-06-12,2317.958562331913
2025-06-13,2328.3218021464695
2025-06-16,2367.6898532239625
2025-06-17,2384.664968422658
2025-06-18,2396.711980611744
2025-06-20,2401.859799646339
2025-06-23,2426.4281489077557
2025-06-24,2445.081753438405
2025-06-25,2477.3497667413653
2025-06-26,2509.6125207690725
2025-06-27,2533.466932879334
2025-06-30,2546.8149521817895
2025-07-01,2568.4808702313835
2025-07-02,2583.1698490913336
2025-07-03,2579.734220953764
2025-07-07,2580.640912568369
2025-07-08,2601.4534616360133
2025-07-09,2619.176024905028
2025-07-10,2652.2708971897678
2025-07-11,2674.6402989176304
2025-07-14,2677.032968603873
2025-07-15,2702.194785874611
2025-07-16,2715.852775154222
2025-07-17,2750.441489707793
2025-07-18,2779.160247634541
2025-07-21,2805.923444095047
2025-07-22,2822.167527593447
2025-07-23,2849.257015202851
2025-07-24,2890.0953417588325
2025-07-25,2948.8602579276994
2025-07-28,2987.309517043928
2025-07-29,2992.3831707578306
2025-07-30,2993.213151775509
2025-07-31,3065.204798913477
2025-08-01,3140.946667237613
2025-08-04,3193.1631135605107
2025-08-05,3178.636878813585
2025-08-06,3232.2969269956734
2025-08-07,3232.0471879282077
2025-08-08,3223.040114843871
2025-08-11,3262.788656044075
2025-08-12,3277.7615351219074
2025-08-13,3290.457596531628
2025-08-14,3337.7378421534327
2025-08-15,3365.522270837814
2025-08-18,3387.317881344107
2025-08-19,3416.9247931994933
2025-08-20,3415.57563763536
2025-08-21,3425.7827256826545
2025-08-22,3451.7165252995
2025-08-25,3461.843921445284
2025-08-26,3490.3904715569006
2025-08-27,3534.030569817258
2025-08-28,3564.9852331063194
2025-08-29,3587.418872565466
2025-09-02,3599.5131280147543
2025-09-03,3652.9754492255347
2025-09-04,3683.599335951384
2025-09-05,3717.618159027161
2025-09-08,3747.2743491093097
2025-09-09,3816.1368914546824
2025-09-10,3851.0545541368247
2025-09-11,3883.388203410672
2025-09-12,3842.800937631889
2025-09-15,3855.840378860429
2025-09-16,3887.106563429949
2025-09-17,3904.178009632411
2025-09-18,3905.4035417075206
2025-09-19,3992.891263444477
2025-09-22,4019.227309357899
2025-09-23,4052.1749546148153
2025-09-24,4129.7590678986935
2025-09-25,4194.041344482358
2025-09-26,4256.729669255786
2025-09-29,4288.507444321067
2025-09-30,4311.298728392562
